COUNTY,YEARS,Zones,AREA,YIELD,Rainfall,Temperature,Air Pressure,Wind Speed,Evapotranspiration,NDVI,EVI,GPP
Baringo,2012,Lowlands,39753,1.810,608.300,18.800,20.280,5.600,29.557,0.644,0.367,0.390
Baringo,2013,Lowlands,29117,1.920,417.100,19.070,13.900,4.400,31.940,0.638,0.366,0.424
Baringo,2014,Lowlands,34960,1.000,77.800,19.830,2.590,8.300,31.646,0.548,0.306,0.342
Baringo,2015,Lowlands,44159,1.890,388.500,18.770,12.950,6.670,33.044,0.573,0.324,0.386
Baringo,2016,Lowlands,33163,2.190,410.500,19.600,13.680,6.630,32.497,0.590,0.337,0.410
Baringo,2017,Lowlands,33308,1.370,247.200,19.930,8.240,9.970,33.919,0.554,0.300,0.366
Baringo,2018,Lowlands,37658,1.550,362.600,18.900,12.090,4.230,34.004,0.663,0.389,0.445
Bomet,2012,Low Midlands,32697,2.240,905.000,17.770,30.170,6.000,33.386,0.680,0.442,0.515
Bomet,2013,Low Midlands,30620,2.360,710.400,17.930,23.680,5.270,32.975,0.625,0.392,0.498
Bomet,2014,Low Midlands,30940,1.720,246.100,19.300,8.200,7.130,27.829,0.630,0.404,0.504
Bomet,2015,Low Midlands,35727,1.080,659.400,18.000,21.980,6.670,29.868,0.681,0.432,0.531
Bomet,2016,Low Midlands,32275,1.410,702.400,18.630,23.410,6.600,27.900,0.679,0.434,0.496
Bomet,2017,Low Midlands,33792,1.670,360.700,19.530,12.020,8.900,30.468,0.643,0.397,0.523
Bomet,2018,Low Midlands,33291,1.750,697.000,17.430,23.230,3.470,28.922,0.697,0.455,0.560
Bungoma,2012,Low Midlands,96209,2.730,340.800,21.470,11.360,6.270,34.269,0.677,0.421,0.438
Bungoma,2013,Low Midlands,92705,2.390,279.900,21.530,9.330,5.930,35.166,0.664,0.407,0.438
Bungoma,2014,Low Midlands,98074,2.730,63.000,23.370,2.100,6.230,35.644,0.684,0.435,0.453
Bungoma,2015,Low Midlands,97397,2.670,487.500,21.030,16.250,5.930,36.333,0.691,0.423,0.478
Bungoma,2016,Low Midlands,100712,2.990,320.200,22.100,10.670,6.400,33.773,0.666,0.414,0.464
Bungoma,2017,Low Midlands,95323,3.030,202.300,23.300,6.740,6.600,38.770,0.692,0.428,0.482
Bungoma,2018,Low Midlands,93484,3.160,455.100,20.830,15.170,6.070,35.771,0.713,0.447,0.497
Busia,2012,Low Midlands,41990,1.190,573.700,22.700,19.120,5.130,35.520,0.643,0.393,0.388
Busia,2013,Low Midlands,45898,1.380,463.400,22.970,15.450,5.870,36.803,0.634,0.377,0.375
Busia,2014,Low Midlands,50400,1.440,245.400,24.330,8.180,5.030,36.673,0.650,0.407,0.395
Busia,2015,Low Midlands,50781,1.700,722.000,21.200,24.070,5.570,36.201,0.660,0.396,0.395
