COUNTY,YEARS,AREA,YIELD,Rainfall,Temperature,Air Pressure,Wind Speed,Evapotranspiration
Baringo,2012,39753,1.81,608.3,18.8,20.28,5.6,29.557
Baringo,2013,29117,1.92,417.1,19.07,13.9,4.4,31.94
Baringo,2014,34960,1,77.8,19.83,2.59,8.3,31.646
Baringo,2015,44159,1.89,388.5,18.77,12.95,6.67,33.044
Baringo,2016,33163,2.19,410.5,19.6,13.68,6.63,32.497
Baringo,2017,33308,1.37,247.2,19.93,8.24,9.97,33.919
Baringo,2018,37658,1.55,362.6,18.9,12.09,4.23,34.004
Bomet,2012,32697,2.24,905,17.77,30.17,6,33.386
Bomet,2013,30620,2.36,710.4,17.93,23.68,5.27,32.975
Bomet,2014,30940,1.72,246.1,19.3,8.2,7.13,27.829
Bomet,2015,35727,1.08,659.4,18,21.98,6.67,29.868
Bomet,2016,32275,1.41,702.4,18.63,23.41,6.6,27.9
Bomet,2017,33792,1.67,360.7,19.53,12.02,8.9,30.468
Bomet,2018,33291,1.75,697,17.43,23.23,3.47,28.922
Bungoma,2012,96209,2.73,340.8,21.47,11.36,6.27,34.269
Bungoma,2013,92705,2.39,279.9,21.53,9.33,5.93,35.166
Bungoma,2014,98074,2.73,63,23.37,2.1,6.23,35.644
Bungoma,2015,97397,2.67,487.5,21.03,16.25,5.93,36.333
Bungoma,2016,100712,2.99,320.2,22.1,10.67,6.4,33.773
Bungoma,2017,95323,3.03,202.3,23.3,6.74,6.6,38.77
Bungoma,2018,93484,3.16,455.1,20.83,15.17,6.07,35.771
Busia,2012,41990,1.19,573.7,22.7,19.12,5.13,35.52
Busia,2013,45898,1.38,463.4,22.97,15.45,5.87,36.803
Busia,2014,50400,1.44,245.4,24.33,8.18,5.03,36.673
Busia,2015,50781,1.7,722,21.2,24.07,5.57,36.201
Busia,2016,38441,0.95,486.6,22.53,16.22,5.67,33.25
Busia,2017,31962,1.61,377.5,23.6,12.58,5.23,38.142
Busia,2018,33122,1.62,682.8,21.33,22.76,5.07,35.899
Keiyo-Marakwet,2012,31533,2.92,388.3,19.97,12.94,4.97,34.306
Keiyo-Marakwet,2013,32015,3.17,220.5,20.47,7.35,3.87,37.747
Keiyo-Marakwet,2014,27620,3.75,48.3,21.1,1.61,6.1,33.969
Keiyo-Marakwet,2015,33598,2.32,248,19.83,8.27,5.53,35.206
Keiyo-Marakwet,2016,33315,2.25,177.8,21.13,5.93,5.63,32.613
Keiyo-Marakwet,2017,28373,2.85,131.2,22,4.37,5.13,38.466
Keiyo-Marakwet,2018,30631,3.02,156.3,21.37,5.21,4.57,32.161
