COUNTY,YEARS,AREA,YIELD,EVI,GPP,NDVI
Baringo,2012,39753,1.81,0.367,0.390,0.644
Baringo,2013,29117,1.92,0.366,0.424,0.638
Baringo,2014,34960,1,0.306,0.342,0.548
Baringo,2015,44159,1.89,0.324,0.386,0.573
Baringo,2016,33163,2.19,0.337,0.410,0.590
Baringo,2017,33308,1.37,0.300,0.366,0.554
Baringo,2018,37658,1.55,0.389,0.445,0.663
Bomet,2012,32697,2.24,0.442,0.515,0.680
Bomet,2013,30620,2.36,0.392,0.498,0.625
Bomet,2014,30940,1.72,0.404,0.504,0.630
Bomet,2015,35727,1.08,0.432,0.531,0.681
Bomet,2016,32275,1.41,0.434,0.496,0.679
Bomet,2017,33792,1.67,0.397,0.523,0.643
Bomet,2018,33291,1.75,0.455,0.560,0.697
Bungoma,2012,96209,2.73,0.421,0.438,0.677
Bungoma,2013,92705,2.39,0.407,0.438,0.664
Bungoma,2014,98074,2.73,0.435,0.453,0.684
Bungoma,2015,97397,2.67,0.423,0.478,0.691
Bungoma,2016,100712,2.99,0.414,0.464,0.666
Bungoma,2017,95323,3.03,0.428,0.482,0.692
Bungoma,2018,93484,3.16,0.447,0.497,0.713
Busia,2012,41990,1.19,0.393,0.388,0.643
Busia,2013,45898,1.38,0.377,0.375,0.634
Busia,2014,50400,1.44,0.407,0.395,0.650
Busia,2015,50781,1.7,0.396,0.395,0.660
Busia,2016,38441,0.95,0.371,0.367,0.613
Busia,2017,31962,1.61,0.399,0.411,0.652
Busia,2018,33122,1.62,0.438,0.418,0.681
Keiyo-Marakwet,2012,31533,2.92,0.436,0.407,0.698
Keiyo-Marakwet,2013,32015,3.17,0.431,0.471,0.701
Keiyo-Marakwet,2014,27620,3.75,0.416,0.438,0.673
Keiyo-Marakwet,2015,33598,2.32,0.437,0.493,0.698
Keiyo-Marakwet,2016,33315,2.25,0.407,0.498,0.672
Keiyo-Marakwet,2017,28373,2.85,0.419,0.498,0.697
Keiyo-Marakwet,2018,30631,3.02,0.427,0.467,0.698
Kakamega,2012,76285,2.26,0.413,0.441,0.676
Kakamega,2013,73463,2.35,0.401,0.445,0.667
Kakamega,2014,70993,2.57,0.422,0.453,0.679
Kakamega,2015,78271,2.86,0.414,0.470,0.684
Kakamega,2016,78344,2.2,0.406,0.456,0.662
Kakamega,2017,90572,2.51,0.415,0.481,0.688
Kakamega,2018,76663,1.12,0.443,0.490,0.706
Kericho,2012,95387,2.5,0.475,0.459,0.744
